Name,Image,RevitFamily,Style,Hook At Start,Hook At End,HookOrientation0,HookOrientation1,RevitVersion,CreatedByOrganization,LengthParameter,RhinoBaseLineType,CreationMethod,Progress,Notes
10,10.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/hTNJN0KCFpslwEMeQ6cAgQ/OIlaauQKDVHft6ZXMAxtYeuRe6SR0xGda4CdmV_I5G5zEytl97Jz7YTCjpOg-jWZkf-4Ok1zI0WaJxVX0YP81Q5EiVL3nDyHKDVSyDmtRBwRZGlGmiIrFtDMw7U54RVWLPopbPrJyvt6mDp79zA94Q/feFzOcqPQ0mHsGPtWopLoEgwSyn-qjcsnXu6mgC_0M4),10.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/-nhXR32LhdyQ7n_jk6smIw/moBLE7M3p5J3vPJjjDX3qb9OoSqaQK1Ql82EThd39i9E7p5QWRT63Nl1QIdtc_TZUi5bd3tJfOXllacydB5OPgXSjb3QorUAECWDxa3NMfg9MDTe0XHgs29TmRGja2Q5M6_QPFZ_IU839oYj0u9d2g/faB5dne0uT933Ha6CrOy1vuxi2W2nASHrgIz8rR_zBg),Standard,0,180,Left,Left,2023,Autodesk,"a,b,c,x",rg18,CurveAndShape,Done,
11,11.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/ZkhBz7Ete9a2-nPazFYO6w/X9bVLyKiRD-rqUraEisv_sU7A0b86jcOdtv3124eEgfllF2_R1zO6SZGmEbKzIGK-nnFGYb7gN0WnZLeiKFzIi2Ug0SEJpE5vyv7vwPpZUNFWrdyRl-NX5cowE0Y3VyhwWSJBiPYDUcsl1cdyg9Swg/IZUorePLSfuzL8RKQ3lE2f6HQ0iEpWo8CKqNarNrnL0),11.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/WTW4LO4yXMO2kvNQCOoYeA/5ikhZAzaHvKE0W5CkRCIZ5GuprTz-qZ-n7kc6XegQU0YAb8i8CZTodf_Uw6_Aj8HLrKyCFw5W3ZKtWQkGBGzbfTgD2AHwgKvo6kBYbiSVULC1t7Ipsbc_M3m17RmhOAlF7AavHjBD3xn4mZ-7-f3tg/me8c7jAhYA62HfPRegn5ag7-QGySE-aUQJP0gI8W2bY),Standard,0,90,Left,Left,2023,Autodesk,"a,b,c,x",rg18,CurveAndShape,Done,
12,12.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/3DECbcnQllN6NozJB4KPcg/szmU5_u_DsLITINcwNadm-pTaOCRHTSJTx5iOQP03Fwv0cgMFZdUPR9KukHdhEd69wDC-9k4428sxvWyTKdkfSSwc3CjGuYQkJLYtQvce14gDCjLoaplJAqQegxVK1CUKmcboVal0l0g5_kOOCcMrg/hRJ6D15ggVAD5vaLimQpulDVmMA4fxk59pm0gVUKS9Q),12.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/lQVubxvKu2tBAKk0aekZ4w/UxqIIv8u19U0lvafIdy-DcxuOSdW4U2CXwlNbMFHWEX_R5LIUG6N-VqKa18HvFVR84-82lACUvWbIuJUlnFiKdW-XMbVzd0U2wKLQiZMpWjUGeVj_v3_KVQiALKe_amuWOywkreFfKwvSjwpIbAbtQ/Tmgi0WqIOAP6bKWz_xZBnt-keNH3Ww06voKQzaCCtAA),Standard,0,0,Left,Left,2023,Autodesk,"a,b,x",rg19,CurveAndShape,Done,
13,13.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/9TP97Zeqg8BfvdVknGHTtg/wXM-gQOloE24qd3ntFLkURiSDm76Pegc3mae1gVf2VfLOHioaCxsNopUwR_VVFKGbgI-9kf2grOFsWB8AnLKt7Nm1UX7dLY7C7l4SZGk3s8qf78kfNQ8SC9fdWqJiJweCbR2cgZQPVRWQqQuXPyD7g/6iIK9bTCY6qbuNKYo2C5c8fRzVEFl7AZiPKJJaYEX9w),13.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/8ogJ2u2TUL-bQv3HMHl04A/2tHLR34V2L-EyjAlaZrEopGYuqSzmS9H3xuPBO1I3g2P13nkBwkV_uzoQm51qwLreMbcvwS-M7aU4n2d-bu2o3Ebg5CP4ThgRMRyEd-VAqiF1Kwd7a032f6BvFsLLBnRVYmvfgMz0Cb0_IYM6_Ib-A/2sanYCJEu6DjH_4S7yHcTmpDMDGeUwrWc__irw5OESk),Standard,0,0,Left,Left,2023,Autodesk,"a,b",rg03,CurveAndShape,Done,
14,14.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/_dCQkRyGzFhIuMLatlQ-1w/0CMCPpb60bEpxExJ2jPcQ-9GfXP4uINmLUoK-knQD3bZZClC72U18HsyJXXSCWigWCAfVInOqaw52DP2m5RmrlCb0v9Sx5ZeafT_lnD1_hHaLvdO8XQBnfrt7ZAWGUjVkUsaxNY41tCFdwVgXogCFA/MMeZ7wOm68o8RPUmuscNjuih2V7h1h2dyt-Pd9Yo6DY),14.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/bqkPwUYvL-BJK6QIaPfKjQ/rkcd7rvQCR8tSoB3r3N4ZKawlxCKIga8G8kQ_QLoRgFp0Ya7BuS--oTgQV2xGS42jMh5ytK402n9I5JRri8xMzyvD-4y7UnC9JtFL8eY78SIopvfkuWm6CnUMS7MlVEYAsJCtOTYydrd4kN40IZ--Q/yWLsKOx9yOTZkDxuJkRVEUJUoaz2_UXjvv8DEaGDsKQ),Standard,90,90,Left,Left,2023,Autodesk,"a,b,c",rg05,CurveAndShape,Done,
15,15.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/432_lSIe4Z_GIOzplnGdDw/X_nsTxM8wjFWUsJ4MGF634bONpZ9gqlczcbaAPzpoMlRc_zygg9h9IRuyeXysBIOXgEh5uscWSinZdcauZeg75ulEOumy8AgFm5Xm5kPm4Lz5zOEIiWuc_V2CKE5ZAr3REGw4dKtfgUEY6-ou4LqMg/dySjLH3SskCmxQc0JJdoUEyFbTKORIV9UfNYJUy4xHo),15.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/TgzF24AkS3F4IRgX9XbwgA/MDyBgzn5NJ1sEjCWpudUlJBgcUhmi76q8i8UfEk2xo1YvypXIlxQR8BLy0rNuMgVabgx1ib3RMjZPx5LiERsHXidXA3PcGmLJROYsTcqHc5ul2ExswQJ3NA69BnpR7712II689hqpc1-rIo4JaHrvw/N63kRHWBeqS05OfTv0KOWp0B9Cqa1guaLLlxJlv0UYw),Standard,90,90,Right,Right,2023,Autodesk,"a,b,c",rg05,CurveAndShape,Done,
16,16.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/01BQEbp1Hc1z1UYD4YYykA/S2FUbz90EAiOSHiDbAWwebQBP9PHz6b4nqHZRq2L7mQf_IUmyq64iNcayKMZSiM7fI1AYP_-PvCxwNzrIpzEOZ3wg2geNFHNUDcHAGx-HTUlYHUPVrkg79Q9K_n7HuwJuCo-WHQ8YrjC1g3rxr0jqQ/YNjYSoluqQk6zQCQMf2iEwOpp6pWovQT7RbaTh6J3jM),16.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/zjzrRIcC926phWkO5LCalQ/F5u_GkPljWI8eDmFexEuDbyNW65W4RvmyWTP969cfffLKBKy7BeKEASIeA7cvT6CIYAznvxawk_7H0i2dW5Crqx6xvuYazMjRAp35dpOADx4kQHi6hU7zkqBsaIDwyUK5e0UtJZ8AUoShCdMToopdw/Ks_DnD1PTKaP3WG99rduLpLqvO3z2Gvf4OIiG00_MI4),Standard,135,135,Left,Left,2023,Autodesk,"a,b,c",rg05,CurveAndShape,Done,
17,17.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/8EP3Nx-tQgmeEMnUH81LxQ/E2yeMRKZGMms0A4bHnAznLVQ3HxGxmeBmoKTNaagpskWMssdbNGSr9nnwNCDZ6SpzAX9DzC6wo--sxxm0qttGmhlIaN3OAsxt-Z4BPJg4PPyAYG82PyGygXkYqCzIjL2uduQa7yUMgWPN8JAn9BkMw/7wGYj7pHP18gLRLd4OFWq-V_hPy1QO4w7w_WTP2-fgA),17.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/_3qu_7wY42AAAgWbXCrq4w/vEyRzaxQqmjG-VT3idfviJisfnGQHLutLN_TIfCabMSYv-3euoSry63O_y-vNsd4m5ixALFfJ9WI7gR8W6U2csQ6UfD3KIrfZs6xCtbFe2Sh6h1ZIEysacX8RqfpbZIVy0yy-u3Uw-nX_QWTGxGIgw/n-_Z0IOLhp93J4RkfScKeNt0KHlM2r1nOWsL1Ho5B5Q),Standard,90,135,Left,Left,2023,Autodesk,"a,b,c,d",rg08,CurveAndShape,Done,
18,18.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/gNGAUT5AbC65OzhYaSrEWg/FlRaLEDvMtdNeS-_3cbu93jRLEZm0kfdKa1Ef9uuTvOtXJUp3ZcbMEOb74Pdy0bUs4oMg4F1vWmrsRWCBxpplNoOZrRkBDJEFT4PMxoR3ajd9CTTU17zqm4ASvbfuc1e9E-6EoRJqlSQQvZ8IucsQw/VWkOj7awohf2y3ZnbEL1iqh5Zzy6PdoEYM8ryP_NrQM),18.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/zT-9On0MWwrAvb_lK7CiuA/_Q9_-xOnubXiWtbaoPJ6trmgxAh1Cis5y14uWD8-WmqLZZ0JiMhWvQ5vik6oOQ-jidsRL2d9IQh4wql3rRRIY0-hZYw5MTYNFcfZOltmw-VBrRla7Wk38LxSU3lXbbHIoDjo4loE4ZYDuwPFBhsHAw/FqZECWJO5vpnbddJ0SpeIEXaSp4dESX8h6vT5HdEp3M),Standard,135,135,Left,Left,2023,Autodesk,"a,b,c,d",rg08,CurveAndShape,Done,
19,19.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/tpiK8fS6hV9XMEVRXLdGtw/gg4U4Jqap-yHHh3p2zv0NdsdJZWjXChko21IAcTrkIjvbsDWiPuThl0n9ta3f-HbbPpHu0FX0w7G_jQ6SqlNwL754iC7C_8lqZuBja_fX_ZFiDZkiHSGEw3H-DY0RN-zizeRWMV-TR0ZYVem6O-oag/BTm_bTzIM1KCxkSZlypVUTSSVyhlFUUHfBAK3D_e5OA),19.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/DvFmMPCSJpXcZTEHqSMTXA/pQ1-fBm-_OBR-iRoqFUqmM1JPWPIMS0T0tfHHlVJj8GDjssQvYRDYE2MxQmsqkJzfR9r_bj5Plqo-WvrNoXV-cUNcHvY-XDRP9sh6hM4vJdja_PrLmBP18mXgETicvk1Cn6jjZXM1f5DhyeytM_2Ww/mOFt5mh8kMPhDPv65wbxpNyaunxMlCl9h8Zf791e3Eg),Standard,135,90,Right,Right,2023,Autodesk,a,rg01,CurveAndShape,Done,
