Name,Image,RevitFamily,Style,Hook At Start,Hook At End,HookOrientation0,HookOrientation1,RevitVersion,CreatedByOrganization,LengthParameter,RhinoBaseLineType,CreationMethod,Progress,Notes
20,20.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/4Ut1t1i0Gj8tfQDvYVPjCQ/gOA-m61ltScXgIbUisH9AA7nfwBzJNxnHMxbeHygUZksIM6Gvi-9-7xjZQxl85vLznInspy1Rp4lo6DWJKyQ7BrxCbBRVbB5kjahcA_LbPFYMYqA2d6RQ4sTmdl-xo28CkoT-7fwreN9paM23KwtIQ/8SZhkQTq1bwJDpgCC2oQX9lEs5m8Q4YrY9E6UqDyihA),20.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/HxoKZ3tt8z-ePOi1G-vH7Q/dyx2qqelpgX43cCSH45YJNXEiHb6yxiNRl8_jGmkM5XVqDAMgRLFU-Z-OPvsQCVfdyVIs4PnG6xYNALo6bRzr58UxZ24i2lBBsIZx6t7nWEuvykmYRJxrMD-Usf0xPGlvMSo5bMcKmVbi3IpUuEqxA/qebh9dT-ioEh1tyKVwsU5kQsuNXwXz0XQ-aINc9NyC4),Standard,135,135,Right,Right,2023,Autodesk,a,rg01,CurveAndShape,Done,
21,21.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/OFTtRDnjeLkQRbnAjJ_PiA/ukp5WkCfzWqA7E8XpUo8HG3gvu8n__OZhw44L5hvjJ1MSPivGnNQm2sjt2HJbuRkxlc493DVreStw_zwenJA0JlB1unwoDVTHi857qNrOkIH0X8FvDNVqh9j_WKB638MSxE28635KDwICCg-ydkmjA/buGZM35SnhdzvfEeaFvEvG5FY4aY9rMxvofhc7CNKLA),21.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/nN2Jpv_4kQ-oJyS_rOBZXA/5LH28sIBsBPrkqsduPjiT0Vsl76XEycKxut5kuhkv_-z4dYNWYCMokptpS6oNzHQyGkozZG5eWbtGrnx7AYxFJ1s7vBc-MlL6yCUdlB4Ja1fn43yoGlEI-NYejwMxZhl47LW7KS800B_pdquQUPR1A/FJ45YZ2kzN8f3a3WlTKinUGJ17qLQ3HChFuS4-j4Wt4),Standard,90,0,Left,Left,2023,Autodesk,"a,b,c",rg06,CurveAndShape,Done,
22,22.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/NGfQKI1IARL4oHCDRaQqNA/RwResi64eycp43ntYIWwRHtTxNEbWFeu5eYRqlJI7r61x0QjE4Ym0fd3XYkX6JxQFG80CiWpENCJV0JkhqVK3AFsH0CJHf74syZWH6QbHdqZUz60OVmN1cuI4ZOQ7guTU23XTk9mSf8mw84nEhxpNg/feuCTNQwQwgvHQdxQdN-x2Wc_sqz8MBvMJIzvlAtWPI),22.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/pGD3Bxzk6QPVaXCCLsF-jQ/gzPQUY88GyiaYwN2QNso7ntTHxK6QiRvg5EVFrE1K9e2yk6eU28ZALcNNL3eElTRi1nuUVlQI81pKOJPVa8RagOvS6GOj-sPo5O6oJvOOjt6U3W44unfAvRH8NpPjjMtGg3FHoRuhlg91QMc820eMw/G16Z_majjSh9OP27jqL3UxqoZ8OK082jA7hVEUqcRxU),Standard,0,0,Left,Left,2023,Autodesk,"a,b,c,d",rg09,CurveAndShape,Done,
23,23.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/jWnrVa1fgL0r3cLYKvvH9w/bNU6hHRn5pLEXPyaWaq_IZPZJ4hzjaAlJiRE7l5nwcrQ7pdsnko9apm6_n3fPh-wFQPQJjFsKf4rq12cHUgqD6oOqDgcz9DCktyJDLAkkdz183q9TkpMn6iLdWHQvSRTXr2zFPYggH9IxyTWtRfC_g/yfxLkhNFVJH3dELFdZbFiBbQIkn6rEAlo3l2J6mCaF0),23.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/Y_9gNm9nEyRvjXqzwF0Udg/Sp6unCDTpZoF4r9eX7LBxuc7omXvDTY07rTbxCnRHkw8hpKWInnrxgf2ZGEaZpvR3J46pf6xsfYKoBxkkWJShEJHrbq3URckCllNudSIln4cn3Fw2ic4zGPyltPZ6qBLtuG18oICTlNowdEwfXdDVg/TAWZSoYvNpE7SA6n8lru3UpI9MSyRsU7KfpWWPJ0EYg),Standard,0,0,Left,Left,2023,Autodesk,"a,b,c,d",rg10,CurveAndShape,Done,60 angle
24,24.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/jKOnF0noRLz5eY-B3pHDFw/cBFR6_0cd40Vqfzr4rsaEHO0u47SlOTSobnZMGaYthEL_o3hP1prBZ_3Mb-GUAGoDwL7VQG5eJREvzCdXmN9d_DPIvLseJylJD10FeEyZIgvDkVfIj_nqCpD5bL6hxHeMYruJffxFM4iPvIpcjZqEQ/EwCd0QNP4w22hS9j-gVAn824lub_5mmO4oB6xau_B3I),24.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/UdO2H0DSmSic6K4FIXUemg/r92_ooLnJmSYfaXxqFBMt6wkDq86l_CCq6PLLdVxZpyZexbC4PDAH223AzRg05cGHa6Yy-2dmeW8g732HdU8d-5SgoE_x-0IDYzyRWeTm7hjDivow8jU1GEOV87yTchE2ZkElgfL8eA5EkISvqijgg/dkBFHk0EjL7_qDLgo6UPF86y7nTSJPvCtbkSVT8fd-U),Standard,0,135,Left,Left,2023,Autodesk,"a,b,c",rg06,CurveAndShape,Done,
25,25.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/H9lOc51TM1jYSPNnRSU5GQ/os4isLCC_M1IFA_yczHOOjESMmYzLllGdYnjiNKX7BJtzApblZDj_qlATrce8bepm4xhAwCsr4Zuvxdw7Brhy2IHLM8xFsA_htDiJD04GA-p2anE7MS-a0Ofs3lG2f3UxVz5x1O9oKoLydFXXdzYmw/KmBzsD5c5Rgz9EW5ebB3naftrp_ol6quiCog4xfLlMA),25.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/rGiqC6eC1IutevfMsZdolg/v4yCcQurR63d_2_7Bn2ti8GCpB5tMWn2Tb_SvQI5GmVO9G_ypApd-C3PzaqCPF6hsSZi1swpq2f-XwVHfXnRdqgbt4a5TmooFBxW_aB69zhxiGwRpIQ0_bJ8b7mp8kxGSC7Y2nG4Pj9ibDHfmd0xfA/reGkJhhDi_VmeI9IjDMh-bKE_J2gmGqvNo7OCK1nvyw),Standard,0,0,Left,Left,2023,Autodesk,"a,b,c,d,e,g,h,x,y",rg15,CurveAndShape,Checking,
26,26.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/FGUvixGd6mqunnYmJDyRcg/ErccrEWyoQ_yzpOrPiDiy-pD6ymY4luwPtAo6m2BuBFHSI1Sa3-daXJrwuMYktiuJIquPvmb1MJMX7e-TJX3hMTND8dFA0C3kqpNsjsIl0UXeWxH_qdFC8by08Y2kYFek7Verm99E1M9Xj1dVZ3MWQ/kox67B2NuXSKOSNz9ls7CXUFqMNdr49YKivQIlXP5jQ),26.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/lzbT2cITP_8AG5RVDXAJgA/qzCfV6BwUFXE9loTgBgiDoliemwZqwIpGH_1Y026DP1lG1aGFjS8bIPnfwZ_oqIn4ftuUGdV22a4WmHxRFRHoX1ckCxOEYgFhBTZBDoLRWZGPHTX5t8svOMGf78UsPdH215F31mJ3fqwB_O1660DHg/AoCddabnAlLKZAPeU2NLPd5TXKka1pzYiIzBBQ6jG6Y),Standard,0,0,Left,Left,2023,Autodesk,"a,b,c,d,e,f,g,h,x,y",rg14,CurveAndShape,Checking,
27,27.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/zXv0BXotTGnjQhsKihSEWg/4j9WY-8UP734mRR_grywC4v1ZgshDWuIftC1Fz3AY4IMHeuxufM9yfd3U9X-YIr2QmNIn_zgAmrMpEhZmvKgxlrioaQc72YNkELQ1xGKYkOW5uCOeA8_56SnVt3gvXAZIj7_Pffzl1HSmhkczRYhAw/AM-054a2eRBbRyhxKVLH1zFLGhsJTh_VQQ0fceXUCiY),27.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/YCIEEjZDy2K2yhEdOlSI7Q/sseQq_xAeCpzdoqNw54RpGR9i2UKukxbTqbvdB6U_CygFHBC9SmZbZ62KBmpbYZoL1KXCXuvQtNw-1vhK_di8UjIQSrR7_eTUYzQlkXbcCyHNx6XMqPJUAFCiio-Ds9-7BNg4H5-ZV4VxWJRdGayow/_vApS_1s9A3ik_wudrKn043yEkhrMw4LKfwAMke4wc4),Standard,135,135,Right,Right,2023,Autodesk,"a,b,c,d,e,f",rg12,CurveAndShape,Checking,
28,28.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/HrlKVEs5upY3Hfiwa79bKA/YabFQCyWhXRS-zWxlDOGUktOXN--0CPvxCD13TdH8f9e2WzBV376m7QoX-hNIiHdtULlVCaZJA7GExOP6hJI6V0iStUHpbMaoN5H3XV7qYtuFmkhJqrXzeVQqtwIKZt8-o9PseFlEp8vDymv0S1AAQ/0MV8TpmHZ_8TE2Q-zfJqhFTfu4TAyyHqFIiELoDDdYU),28.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/jVHRQeu1ZIwD5fvVNHUYog/U6qtg31GFQWci6iP2WxRSHKT4iSWdMwOypAvZfT2cK6F1-H8Y_6EP4i7jalrY556urhzjixRUDb7YFSzUqu6dxJa5V0HMpy9Rswzzsc5AyKgNAgIcRirITzg1ZaU8-vwKrpZsqkQgaCkO9pt-bGCQA/G6XXvXAbdlNWU20B1AaCH4blzQBIFKnXaUELjACUmYY),Standard,180,90,Left,Left,2023,Autodesk,"a,b",rg04,CurveAndShape,Done,
29,29.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/Q-fUUcloAIpXH3gTPjBqqQ/Ndb1WGbAMfn4b88tEkyAyu8kk73KNUaWjc2ANNRmE4cEZyOv8PKtHm7-EZZSHdZ3Qo-Z-JCF2ecJBaHyFx-UzGOmZb_4jnloee50d5haP4XjM9hAUzztOy7V3cwyV9EFOfQwc9Gbz8rsGsI8UCeMyw/By8eUrDp28VvjKz1UaMKrYmN2XGggyHjtjsVtYuPWkk),29.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/NZ0UDascDVj7jRk0B3w2Rw/xStWBlINYL7QhmkQCIa3Sg49N2myvMYxvOgFuncY6gS2yAW3Fs2SkPcUMv7C-ndwS_E7Nm6z8vV4lj3g8sv6Nvru-B7R1KkTXy2_YvANrEjiEZPQauTTIecTGmgfysjguKINxlKjZ-Zl828Ao9AW0w/BssS-l6-YWHeEdA0-9azD9OGShXeZup8BRQr40Q5Y9U),Standard,180,180,Left,Left,2023,Autodesk,"a,b,c",rg06,CurveAndShape,Done,
30,30.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/gsgZbWMrEzRxmJhUyYNX7w/QjINqOL8CrnzmYmCMKG00GLYZQFwoI8jbsEzvhBVTeymi5EPUfPULcmkyKaByNqNIVeEJPodwPz3ef4peNsFNsTpvK5Q_HC__eUMRPhH56tHittTonYBC6mfekklh1RjV3Awsxy46VHddZH1yTrb7Q/FVtCYGIUFps9ki6uqzY3vCR1Lt71NI5VwjkbkBnJzhE),30.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/1iyFu8Wvh8UMFRLng64vpQ/ym6Nys0oL4IyR_g6GDgNOLMRRN9AU4Hb6B7s6A6Y_Wk7r7EyAo6RNYHYN6xOSiRdLa-ad7ZKB20RzovbBgjX_OIbdSfr71Wl5NI6RLfiFu4BwCeqlG2ASommi-SCZ9EgrjRDlGibDoQd1mV_VLsBJA/nM4EqldBIy110Xiq7UYGhtGPxj0oYG67KBfmtfOeaCs),Standard,0,0,Left,Left,2023,Autodesk,"a,b",rg17,CurveAndShape,Creating,
31,31.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/O0QR9_UqPp_iZa_E4rmfXw/oQM2t-DTpYAg6sORH-X_G2elKTcOaGMSGFGUUyMle5BpXQC13Gz-EloVKLh5gShtekmat2vQSDE66-ed9maLKBxqZ0fhICgiRHkGnDNeYySovEkkXE2l-AlEhIBWAwc_cNBxkYo4bODc4zbQaBmpAw/AEIrKPAvSPuT-f675sTdr6cBgeSUSk-wMSOpLKmxoVk),31.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/Qsw-oqhu4diirzWMIUqngA/f7kH22iQZkgAcWEyuiusk2ikb_3f8rVpMciJu14ndT2nzGFvCLDVHt9jW3UeG0K4vBa3maCH2GyJ8P9Z09Tb4YIk95VfveKO2efv2Hn9jpfbYnWOJCqIsOctgkw09whQTGHvW9RM8fc-US9rSJtJ0Q/pydYgzzYt_DB4gyjKxiMfRst2b1eJiUUZTLU2cQuhEI),Standard,135,135,Left,Left,2023,Autodesk,"a,c",rg07,CurveAndShape,Creating,
pm01,pm01.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/8JsGjYXAFOdiu0IDgIc7sg/_jydYFUKcVK5LIXtNWupoB6gO3pAgzX8g4Iybag9AZgpLew0TQg5dnahWuY_EsSqY0u64pyMJ7BpMT77CWYc9guknt9-I3RRQTgVdpGIDqZA67DII-YF9HE4-qkrWKm-0MTGv0gRu1r3T0mZoZQiXA/_XYTBpuj4Qk6FbVRYASc2jI6VvnPZSP-3z6qDA3F9rg),pm01.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/6l8G1er3fXmRkiFtk524SQ/PpQQGqgoLUXpYT0pFlU_WXEeFBiOb_USGmjokcxx4ca4KskXZGPePuJiAr0tO576M3GWeS6-K2NdBCKDbIrGGugXqqZ6NukunpGS3Xkel4e-aC1RljA7-Stoi0JDDaqz-JXOkMKKn0Rbmi_cEj8RJg/NAcmvd1Pd-9NnxKtwKBQYAqu9B9Dfp04JmZraxd-ZFc),Standard,0,0,Right,Left,2023,Shimiz,"a,b,c,d",rg11,CurveAndShape,Done,
pm02,rg11.png (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/kZXbDSkLVpC5N7XGaE9VEQ/pjNKvj8UUJOv5jbuN9BToWo5hZkbndMIhHalEsPctNmyDEbjLAa6cFfEK2LHMcdZWLa4eT21w4rHVyxK-R8iPu8jKJcT2o-ur0yV-AhoeWKNs6PSPrBfDMU6qhVjjffb1qfAqXfaDf1nCEfBLgHHiQ/8PlmZgTcfrWgPA_8VLYWEcE-ohsp2pcfz9QhBuMNY1k),pm02.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/iRHnjJBeO8ceN61GAAptSQ/7knNrARsUOdBMdqrb4cnNazia97b3P-XaoY8UmQ7yQ5vgcjT6NAlc5PzeQijvaAvxGFnK24aEQLo5e_r_Vkm2gF-7nA9H4KawiDe_5ncEuoizy0OCu5Vg3-qjXknEyS_KvICAtqQndTOlg2Hdw2GWw/16_Sfh-LQ02rK-6H-mE-gcqnGTpsAB3tE2MEHBrPsmc),Standard,0,0,Right,Left,2023,Shimiz,"a,b,c,d",rg11,CurveAndShape,Done,
pm03,pm03.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/Xldu3LaeemX2V7clcK4_Mw/FTYMJqOffktCad7pbkQnk_5sG2du_HNAfgcyvnjGydZBEyFeFBZoL1_HURy4shhhIR7M6SIkqUAJpzrxLbhxPzg9dvV2xBZ57xcJ1OfGvkstgwtEs-s9JPvAGUhivcNqJMuUBq24WZ60QQxPFL8MiA/BcB2Ndw4HGEJJIUEsQz_HR1phETHdjXcG52TzEMAcXM),pm03.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/g0jNLUU3Fyi4DEXelg8OIQ/X_WZYLVt4sKMutC7dk-B0KSfQlAFKIA6ewHz17S5VpMCHdq2UjALJiapeTUix6xWVyWcnX720EhQRERg3xQM-pXhRt4NOrV8IyA4xcEqCNbI66-StH5cmeysGwTTaHIwxwYrwcWZg2NJeCcOr8xe5Q/xRx-mEea2xxIzhZdFLMDxoKKpaPHhkeKcVbR0C9xzVQ),Standard,0,0,Left,Left,2023,Shimiz,"a,b,c,d,e,f,g",rg13,CurveAndShape,Done,
pm04,pm04.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/aieieNtATA3IDNqGn1hBxA/uGS9hXV9BQehMsfpRO3RnT2_d_wb-9F95hdHcCaZDK6l1aijooHPgvBODQA0XtsVUTEmYVbCeijZNe4jkZuMKtmbjiVlzn1OT-fGFtgQ9Pzqp_1idD2kywS4MvJkkIds2csXDBUY8ublHG5orjX0iQ/pYCKyJ7n7KIFUTpGXJMIfhR3e5earEU1hymnKbeKBQM),pm04.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/oAJkWgpzoVcZVKXHI5kLSA/RO_p8Kh0N2FcnBtpxIrfmOd24eIBN0QcBwKeAMc9b5VCYWLRizh9y4KWgpo9p7cE8CKVrQJi4Gv58aabOneJonenwiirDQfwGTpkjSUPWjQ0STw_tKg2BjNaU1kuVLMlrYehYlIE-eK9-WAe624KIA/eX4VT5kVg1nLwRWcywr7hCOLIMPDl9HJr6AnCvKhGhU),Standard,180,90,Right,Right,2023,Shimiz,a,rg01,CurveAndShape,Done,
pm05,pm05.png (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/cUcU5dmZp39vyzmCb_7BBA/TPATCobjEe52zfDem2NIPBugvEkn607iDtoCalLuyiJA5YRv8l0onzBEH_iCs60SXwoHZzlU0nTs-hnffVgqmfH2TMrd-6eV91f9326UeyS9JK8RIM7X3yHvaQWeofadBUBVWcSjYRvxriJzRfU4bw/K5mrgMtzTY9VMlgeLEJxby6VXYVNL62zeWjvMX-mXeQ),pm05.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/xzVSbXBzKC4urUKOQ4bf8w/A4C_2uAK3AdbjiHcGkAYULK4Ux88l5KU4w6j-1WjxD7qHQ7BpkwThwuWCiaZSLZxiOFLKCKWcShVoNGmGbboc7UWaT3dKr9FZU0jbDEoJOEchu1eQw52oD2oi2IhGuy2V2X-x2yc0qyBs-Rlvnq_6g/acD3Bymj-8N9L3zzUVKkfG8OMbGds81bM-am3B7KGgA),Standard,135,135,Left,Left,2023,Shimiz,"a,b,c",rg21,CurveAndShape,,
38,,,Standard,0,0,Left,Left,2023,Shimiz,"a,b,c",rg22,CurveAndShape,Done,
